2026-09-20 17:05:19,659 | INFO | ======================================================================
2026-09-20 17:05:19,660 | INFO | DOCLING BATCH PROCESSOR STARTING
2026-09-20 17:05:19,660 | INFO | Repository: /data/gnidart
2026-09-20 17:05:19,660 | INFO | Output: /data/gnidart/output
2026-09-20 17:05:20,046 | INFO | Found 150 supported files (PDF/EPUB)
2026-09-20 17:05:23,758 | INFO | DEDUP: Algorithmic Trading - Winning Strategies and Their Rationale 2013 - annotated.pdf is identical to Algorithmic Trading - Winning Strategies and Their Rationale 2013.pdf
2026-09-20 17:05:28,043 | INFO | Skipped 1 duplicate files
2026-09-20 17:05:28,044 | INFO | Loaded existing manifest with 131 entries
2026-09-20 17:05:28,232 | INFO | Docling converter initialized
2026-09-20 17:05:28,232 | INFO | [1/149] Processing: 17 Proven Currency Trading Strategies - How to Profit in the Forex Market 2013.pdf
2026-09-20 17:05:28,232 | INFO | SKIP (resume): 17 Proven Currency Trading Strategies - How to Profit in the Forex Market 2013
2026-09-20 17:05:28,235 | INFO | [2/149] Processing: A Complete Guide To Volume Price Analysis 2013.epub
2026-09-20 17:05:28,235 | INFO | SKIP (resume): A Complete Guide To Volume Price Analysis 2013
2026-09-20 17:05:28,238 | INFO | [3/149] Processing: A Complete Guide To Volume Price Analysis 2013.pdf
2026-09-20 17:05:28,238 | INFO | SKIP (resume): A Complete Guide To Volume Price Analysis 2013
2026-09-20 17:05:28,241 | INFO | [4/149] Processing: A Complete Guide to Technical Trading Tactics - How to Profit Using Pivot Points, Candlesticks & Other Indicators 2004.pdf
2026-09-20 17:05:28,241 | INFO | SKIP (resume): A Complete Guide to Technical Trading Tactics - How to Profit Using Pivot Points, Candlesticks & Other Indicators 2004
2026-09-20 17:05:28,243 | INFO | [5/149] Processing: A Random Walk Down Wall Street - The Time-Tested Strategy for Successful Investing 10th edition 2012.epub
2026-09-20 17:05:28,244 | INFO | SKIP (resume): A Random Walk Down Wall Street - The Time-Tested Strategy for Successful Investing 10th edition 2012
2026-09-20 17:05:28,246 | INFO | [6/149] Processing: A Random Walk Down Wall Street - The Time-Tested Strategy for Successful Investing 11th edition 2015.epub
2026-09-20 17:05:28,246 | INFO | SKIP (resume): A Random Walk Down Wall Street - The Time-Tested Strategy for Successful Investing 11th edition 2015
2026-09-20 17:05:28,249 | INFO | [7/149] Processing: Adventures of a Currency Trader - A Fable about Trading, Courage, and Doing the Right Thing 2007.pdf
2026-09-20 17:05:28,249 | INFO | SKIP (resume): Adventures of a Currency Trader - A Fable about Trading, Courage, and Doing the Right Thing 2007
2026-09-20 17:05:28,251 | INFO | [8/149] Processing: Algorithmic Trading - Winning Strategies and Their Rationale 2013.pdf
2026-09-20 17:05:28,252 | INFO | SKIP (resume): Algorithmic Trading - Winning Strategies and Their Rationale 2013
2026-09-20 17:05:28,254 | INFO | [9/149] Processing: Attacking Currency Trends - How to Anticipate and Trade Big Moves in the Forex Market 2011.pdf
2026-09-20 17:05:28,254 | INFO | SKIP (resume): Attacking Currency Trends - How to Anticipate and Trade Big Moves in the Forex Market 2011
2026-09-20 17:05:28,257 | INFO | [10/149] Processing: Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994 (1) - annotated.pdf
2026-09-20 17:05:28,257 | INFO | SKIP (resume): Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994 (1) - annotated
2026-09-20 17:05:28,259 | INFO | [11/149] Processing: Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994 (1).pdf
2026-09-20 17:05:28,259 | INFO | SKIP (resume): Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994 (1)
2026-09-20 17:05:28,262 | INFO | [12/149] Processing: Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994.pdf
2026-09-20 17:05:28,262 | INFO | SKIP (resume): Beyond Candlesticks - New Japanese Charting Techniques Revealed 1994
2026-09-20 17:05:28,264 | INFO | [13/149] Processing: Boomerang - Travels in the New Third World 2012.pdf
2026-09-20 17:05:28,265 | INFO | SKIP (resume): Boomerang - Travels in the New Third World 2012
2026-09-20 17:05:28,267 | INFO | [14/149] Processing: Buffett - The Making of an American Capitalist 2008.epub
2026-09-20 17:05:28,267 | INFO | SKIP (resume): Buffett - The Making of an American Capitalist 2008
2026-09-20 17:05:28,270 | INFO | [15/149] Processing: Building Reliable Trading Systems - Tradable Strategies That Perform As They Backtest and Meet Your Risk-Reward Goals 2013.pdf
2026-09-20 17:05:28,270 | INFO | SKIP (resume): Building Reliable Trading Systems - Tradable Strategies That Perform As They Backtest and Meet Your Risk-Reward Goals 2013
2026-09-20 17:05:28,272 | INFO | [16/149] Processing: Candlestick Charting Explained 3rd edition 2006.pdf
2026-09-20 17:05:28,272 | INFO | SKIP (resume): Candlestick Charting Explained 3rd edition 2006
2026-09-20 17:05:28,275 | INFO | [17/149] Processing: Candlestick Charting For Dummies 2008.pdf
2026-09-20 17:05:28,275 | INFO | SKIP (resume): Candlestick Charting For Dummies 2008
2026-09-20 17:05:28,277 | INFO | [18/149] Processing: Candlestick and Pivot Point Trading Triggers - Setups for Stock, Forex, and Futures Markets CDR edition 2006.pdf
2026-09-20 17:05:28,278 | INFO | SKIP (resume): Candlestick and Pivot Point Trading Triggers - Setups for Stock, Forex, and Futures Markets CDR edition 2006
2026-09-20 17:05:28,280 | INFO | [19/149] Processing: Chart Your Way To Profits - The Online Trader's Guide to Technical Analysis with ProphetCharts 2nd edition 2010.pdf
2026-09-20 17:05:28,280 | INFO | SKIP (resume): Chart Your Way To Profits - The Online Trader's Guide to Technical Analysis with ProphetCharts 2nd edition 2010
2026-09-20 17:05:28,283 | INFO | [20/149] Processing: Come Into My Trading Room (Study Guide) 2002.pdf
2026-09-20 17:05:28,283 | INFO | SKIP (resume): Come Into My Trading Room (Study Guide) 2002
2026-09-20 17:05:28,285 | INFO | [21/149] Processing: Come Into My Trading Room - A Complete Guide to Trading 2002.pdf
2026-09-20 17:05:28,285 | INFO | SKIP (resume): Come Into My Trading Room - A Complete Guide to Trading 2002
2026-09-20 17:05:28,288 | INFO | [22/149] Processing: Common Stocks and Uncommon Profits and Other Writings 2nd edition 2003.pdf
2026-09-20 17:05:28,289 | INFO | SKIP (resume): Common Stocks and Uncommon Profits and Other Writings 2nd edition 2003
2026-09-20 17:05:28,291 | INFO | [23/149] Processing: Cryptoassets - The Innovative Investor's Guide to Bitcoin and Beyond 2017.pdf
2026-09-20 17:05:28,291 | INFO | SKIP (resume): Cryptoassets - The Innovative Investor's Guide to Bitcoin and Beyond 2017
2026-09-20 17:05:28,294 | INFO | [24/149] Processing: Currency Strategy - The Practitioners Guide to Currency Investing, Hedging and Forecasting 2002.pdf
2026-09-20 17:05:28,294 | INFO | SKIP (resume): Currency Strategy - The Practitioners Guide to Currency Investing, Hedging and Forecasting 2002
2026-09-20 17:05:28,297 | INFO | [25/149] Processing: Currency Trading For Dummies 2nd edition 2011.pdf
2026-09-20 17:05:28,297 | INFO | SKIP (resume): Currency Trading For Dummies 2nd edition 2011
2026-09-20 17:05:28,299 | INFO | [26/149] Processing: Currency Trading and Intermarket Analysis - How to Profit from the Shifting Currents in Global Markets 2008.pdf
2026-09-20 17:05:28,300 | INFO | SKIP (resume): Currency Trading and Intermarket Analysis - How to Profit from the Shifting Currents in Global Markets 2008
2026-09-20 17:05:28,302 | INFO | [27/149] Processing: Dave Landry on Swing Trading 2001.pdf
2026-09-20 17:05:28,302 | INFO | SKIP (resume): Dave Landry on Swing Trading 2001
2026-09-20 17:05:28,305 | INFO | [28/149] Processing: Day Trading For Dummies 2008.pdf
2026-09-20 17:05:28,305 | INFO | SKIP (resume): Day Trading For Dummies 2008
2026-09-20 17:05:28,307 | INFO | [29/149] Processing: Day Trading For Dummies 3rd edition 2014.epub
2026-09-20 17:05:28,307 | INFO | SKIP (resume): Day Trading For Dummies 3rd edition 2014
2026-09-20 17:05:28,310 | INFO | [30/149] Processing: Day Trading For Dummies 3rd edition 2014.pdf
2026-09-20 17:05:28,310 | INFO | SKIP (resume): Day Trading For Dummies 3rd edition 2014
2026-09-20 17:05:28,312 | INFO | [31/149] Processing: Day Trading and Swing Trading the Currency Market - Technical and Fundamental Strategies to Profit from Market Moves 2nd edition 2008.pdf
2026-09-20 17:05:28,312 | INFO | SKIP (resume): Day Trading and Swing Trading the Currency Market - Technical and Fundamental Strategies to Profit from Market Moves 2nd edition 2008
2026-09-20 17:05:28,315 | INFO | [32/149] Processing: Day Trading the Currency Market - Technical and Fundamental Strategies To Profit from Market Swings 2005.pdf
2026-09-20 17:05:28,315 | INFO | SKIP (resume): Day Trading the Currency Market - Technical and Fundamental Strategies To Profit from Market Swings 2005
2026-09-20 17:05:28,318 | INFO | [33/149] Processing: Dual Momentum Investing - An Innovative Strategy for Higher Returns with Lower Risk 2015.epub
2026-09-20 17:05:28,318 | INFO | SKIP (resume): Dual Momentum Investing - An Innovative Strategy for Higher Returns with Lower Risk 2015
2026-09-20 17:05:28,320 | INFO | [34/149] Processing: Encyclopedia of Chart Patterns 2nd edition 2005.pdf
2026-09-20 17:05:28,321 | INFO | SKIP (resume): Encyclopedia of Chart Patterns 2nd edition 2005
2026-09-20 17:05:28,323 | INFO | [35/149] Processing: Essentials of Foreign Exchange Trading 2009.pdf
2026-09-20 17:05:28,323 | INFO | SKIP (resume): Essentials of Foreign Exchange Trading 2009
2026-09-20 17:05:28,326 | INFO | [36/149] Processing: Evidence-Based Technical Analysis - Applying the Scientific Method and Statistical Inference to Trading Signals 2007.pdf
2026-09-20 17:05:28,326 | INFO | SKIP (resume): Evidence-Based Technical Analysis - Applying the Scientific Method and Statistical Inference to Trading Signals 2007
2026-09-20 17:05:28,329 | INFO | [37/149] Processing: Extraordinary Popular Delusions and The Madness of Crowds 2001.pdf
2026-09-20 17:05:28,329 | INFO | SKIP (resume): Extraordinary Popular Delusions and The Madness of Crowds 2001
2026-09-20 17:05:28,331 | INFO | [38/149] Processing: Flash Boys - A Wall Street Revolt 2015.epub
2026-09-20 17:05:28,332 | INFO | SKIP (resume): Flash Boys - A Wall Street Revolt 2015
2026-09-20 17:05:28,334 | INFO | [39/149] Processing: Fooled by Randomness - The Hidden Role of Chance in Life and in the Markets 2005.epub
2026-09-20 17:05:28,334 | INFO | SKIP (resume): Fooled by Randomness - The Hidden Role of Chance in Life and in the Markets 2005
2026-09-20 17:05:28,336 | INFO | [40/149] Processing: Fooled by Randomness - The Hidden Role of Chance in Life and in the Markets 2005.pdf
2026-09-20 17:05:28,337 | INFO | SKIP (resume): Fooled by Randomness - The Hidden Role of Chance in Life and in the Markets 2005
2026-09-20 17:05:28,339 | INFO | [41/149] Processing: Forex Patterns and Probabilities - Trading Strategies for Trending and Range-Bound Markets 2007.pdf
2026-09-20 17:05:28,339 | INFO | SKIP (resume): Forex Patterns and Probabilities - Trading Strategies for Trending and Range-Bound Markets 2007
2026-09-20 17:05:28,342 | INFO | [42/149] Processing: Forex Trading Basics & Secrets Volume 3.0.pdf
2026-09-20 17:05:28,342 | INFO | SKIP (resume): Forex Trading Basics & Secrets Volume 3.0
2026-09-20 17:05:28,344 | INFO | [43/149] Processing: Forex Trading Secrets - Trading Strategies for the Forex Market 2010.pdf
2026-09-20 17:05:28,345 | INFO | SKIP (resume): Forex Trading Secrets - Trading Strategies for the Forex Market 2010
2026-09-20 17:05:28,347 | INFO | [44/149] Processing: Forex for Beginners - A Comprehensive Guide to Profiting from the Global Currency Markets 2012.pdf
2026-09-20 17:05:28,347 | INFO | SKIP (resume): Forex for Beginners - A Comprehensive Guide to Profiting from the Global Currency Markets 2012
2026-09-20 17:05:28,349 | INFO | [45/149] Processing: Fundamental Analysis For Dummies 2009.pdf
2026-09-20 17:05:28,350 | INFO | SKIP (resume): Fundamental Analysis For Dummies 2009
2026-09-20 17:05:28,352 | INFO | [46/149] Processing: Getting Started in Candlestick Charting 2008.pdf
2026-09-20 17:05:28,352 | INFO | SKIP (resume): Getting Started in Candlestick Charting 2008
2026-09-20 17:05:28,354 | INFO | [47/149] Processing: Harmonic Trading, Volume One - Profiting from the Natural Order of the Financial Markets 2010.pdf
